Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 202 <size 189, parent 192, gen gap 1, avg score 124.784, runs 15.5<
  Program 203 <size 191, parent 129, gen gap 1, avg score 52.6662, runs 5<
  Program 204 <size 188, parent 200, gen gap 1, avg score 112.617, runs 5<
  Program 205 <size 188, parent 186, gen gap 1, avg score 106.133, runs 7.5<
  Program 206 <size 186, parent 31, gen gap 1, avg score 13.2839, runs 20.25<
  Program 207 <size 187, parent 148, gen gap 1, avg score 108.148, runs 6<
  Program 208 <size 187, parent 147, gen gap 1, avg score 73.6235, runs 11.25<
  Program 209 <size 189, parent 125, gen gap 1, avg score 121.619, runs 7.75<
  Program 210 <size 189, parent 178, gen gap 1, avg score 63.448, runs 8.375<
  Program 211 <size 183, parent 4, gen gap 1, avg score 23.9961, runs 11.1875<
  Program 212 <size 189, parent 78, gen gap 1, avg score 99.9815, runs 5<
  Program 213 <size 193, parent 191, gen gap 1, avg score 26.0586, runs 10<
  Program 214 <size 188, parent 88, gen gap 1, avg score 120.482, runs 8.5<
  Program 215 <size 189, parent 196, gen gap 1, avg score 108.286, runs 5.5<
  Program 216 <size 187, parent 175, gen gap 1, avg score 132.505, runs 5<
  Program 217 <size 189, parent 117, gen gap 1, avg score 92.1899, runs 11<
  Program 218 <size 184, parent 2, gen gap 1, avg score 135.227, runs 2<
  Program 219 <size 188, parent 197, gen gap 1, avg score 132.014, runs 4<
  Program 220 <size 188, parent 135, gen gap 1, avg score 117.467, runs 10.25<
  Program 221 <size 186, parent 35, gen gap 1, avg score 133.423, runs 4<
  Program 222 <size 188, parent 128, gen gap 1, avg score 132.014, runs 4<
  Program 223 <size 187, parent 39, gen gap 1, avg score 66.9145, runs 2<
  Program 224 <size 189, parent 198, gen gap 1, avg score 90.7762, runs 13.75<
  Program 225 <size 188, parent 207, gen gap 1, avg score 83.4637, runs 6<
  Program 226 <size 188, parent 88, gen gap 1, avg score 100.23, runs 7<
  Program 227 <size 188, parent 177, gen gap 1, avg score 115.802, runs 12.875<
  Program 228 <size 191, parent 210, gen gap 1, avg score 38.8076, runs 6.75<
  Program 229 <size 188, parent 126, gen gap 1, avg score 93.4625, runs 5<
  Program 230 <size 188, parent 110, gen gap 1, avg score 84.0841, runs 4<
  Program 231 <size 189, parent 189, gen gap 1, avg score 111.01, runs 17.5<
  Program 232 <size 186, parent 166, gen gap 1, avg score 57.298, runs 6<
  Program 233 <size 187, parent 39, gen gap 1, avg score 112.188, runs 13.875<
  Program 234 <size 1025, parent 3, gen gap 1, avg score 1380.1, runs 6<
  Program 235 <size 187, parent 48, gen gap 1, avg score 133.067, runs 2<
  Program 236 <size 187, parent 193, gen gap 1, avg score 66.9145, runs 2<
  Program 237 <size 189, parent 93, gen gap 1, avg score 78.4221, runs 6<
  Program 238 <size 187, parent 190, gen gap 1, avg score 91.1899, runs 7.5<
  Program 239 <size 187, parent 59, gen gap 1, avg score 79.3479, runs 11.75<
  Program 240 <size 188, parent 216, gen gap 1, avg score 132.014, runs 4<
  Program 241 <size 191, parent 224, gen gap 1, avg score 17.8697, runs 7.5<
  Program 242 <size 187, parent 103, gen gap 1, avg score 66.5623, runs 4<
  Program 243 <size 186, parent 66, gen gap 1, avg score 133.779, runs 2<
  Program 244 <size 188, parent 15, gen gap 1, avg score 70.3179, runs 2<
  Program 245 <size 189, parent 137, gen gap 1, avg score 124.309, runs 13.25<
  Program 246 <size 187, parent 188, gen gap 1, avg score 22.1779, runs 12<
  Program 247 <size 188, parent 151, gen gap 1, avg score 69.0484, runs 8.75<
  Program 248 <size 190, parent 231, gen gap 1, avg score 107.504, runs 11<
  Program 249 <size 189, parent 230, gen gap 1, avg score 69.261, runs 2<
  Program 250 <size 189, parent 194, gen gap 1, avg score 131.666, runs 2<
  Program 251 <size 189, parent 123, gen gap 1, avg score 69.261, runs 2<
  Program 252 <size 189, parent 229, gen gap 1, avg score 100.118, runs 4<
